Date,Open,High,Low,Close,Volume,Name
11-01-2000,1550,1725,1492,1554.45,1192200,HCLTECH
12-01-2000,1560,1678.85,1560,1678.85,344850,HCLTECH
13-01-2000,1790,1813.2,1781,1813.2,53000,HCLTECH
14-01-2000,1958.3,1958.3,1835,1958.3,270950,HCLTECH
17-01-2000,2115,2115,1801.65,1801.65,428800,HCLTECH
18-01-2000,1730.55,1815,1657.55,1774.5,359900,HCLTECH
19-01-2000,1815,1889,1760,1851.15,316050,HCLTECH
20-01-2000,1865,1865,1750,1757.85,204700,HCLTECH
21-01-2000,1761,1815,1705,1781.35,282150,HCLTECH
24-01-2000,1834.9,1923.9,1795,1923.9,328650,HCLTECH
25-01-2000,1990,2077.85,1990,2077.85,313500,HCLTECH
27-01-2000,2239.9,2239.9,1965,2080.6,352400,HCLTECH
28-01-2000,2100,2245,2020.2,2196.95,360800,HCLTECH
31-01-2000,2111,2200,2021.2,2030.4,217650,HCLTECH
01-02-2000,1981.2,2180,1981.2,2162.25,261000,HCLTECH
02-02-2000,2260,2260,2010,2024.25,326550,HCLTECH
03-02-2000,2075,2075,1915.2,1956.5,175800,HCLTECH
04-02-2000,1993,2064,1965,1986.6,176500,HCLTECH
07-02-2000,1985,2119.95,1960.05,2062.95,277850,HCLTECH
08-02-2000,2049.4,2060,1970,1999.2,199100,HCLTECH
09-02-2000,2100,2100,1975,1999,180500,HCLTECH
10-02-2000,1976.65,2014.8,1965,1996.75,76850,HCLTECH
11-02-2000,1998,2156.5,1992,2156.5,166150,HCLTECH
14-02-2000,2199,2329.05,2199,2324.7,265150,HCLTECH
15-02-2000,2350,2510.7,2210,2508.4,224500,HCLTECH
16-02-2000,2560,2560,2307.75,2423.1,260850,HCLTECH
17-02-2000,2445,2616.95,2380,2614.7,276550,HCLTECH
18-02-2000,2800,2823.9,2760.5,2775.95,173400,HCLTECH
21-02-2000,2823,2998,2725,2819.15,151800,HCLTECH
22-02-2000,2800,2875,2652,2700.3,88250,HCLTECH
23-02-2000,2825,2870,2484.3,2548.8,71250,HCLTECH
24-02-2000,2570,2650,2445,2464.1,67350,HCLTECH
